BumpId,VoidId,Bump_X,Bump_Y,X(um),Y(um),Diam_X,Diam_Y,Diameter(%),Area(um2),Area(%)
2944,2,-6.9296,-3.2421,-0.0052,0.0016,2.3449,2.3449,10.9875,4.3187,1.2073
2946,1,-6.6832,-3.2406,-0.0024,0.0011,2.9507,2.9507,12.3338,6.8379,1.5212
2947,1,-6.6051,-3.2400,0.0008,0.0022,2.7077,2.7077,10.8545,5.7582,1.1782
2949,1,-6.3583,-3.2392,-0.0007,0.0004,7.4769,7.4769,28.4810,43.9063,8.1117
2950,1,-6.1902,-3.2387,-0.0022,0.0015,1.5136,1.5136,6.4045,1.7994,0.4102
2951,1,-6.1115,-3.2381,-0.0021,-0.0011,4.1176,4.1176,18.0235,13.3159,3.2485
2953,1,-5.8649,-3.2370,0.0005,0.0010,5.0656,5.0656,21.3984,20.1538,4.5789
2956,1,-5.2684,-3.2343,-0.0017,0.0049,1.9146,1.9146,8.5203,2.8791,0.7260
3027,1,-5.5997,-3.2599,-0.0012,0.0009,4.8814,4.8814,22.6791,18.7142,5.1434
3043,1,-5.9419,-3.2849,-0.0018,-0.0024,3.7689,3.7689,15.8050,11.1565,2.4980
3044,1,-5.8645,-3.2851,0.0006,0.0023,4.4902,4.4902,17.7091,15.8350,3.1361
3045,1,-5.5154,-3.2834,-0.0015,0.0015,2.7077,2.7077,11.6642,5.7582,1.3605
3046,1,-5.4372,-3.2827,-0.0002,-0.0016,4.0047,4.0047,17.2884,12.5961,2.9889
3049,1,-7.4230,-3.2915,-0.0028,0.0025,3.5819,3.5819,16.6091,10.0769,2.7586
3052,1,-7.0985,-3.2901,-0.0045,0.0012,2.9506,2.9506,13.4263,6.8379,1.8027
3055,1,-6.6832,-3.2884,-0.0008,0.0016,4.2274,4.2274,16.8293,14.0357,2.8323
3057,1,-6.4362,-3.2873,0.0002,-0.0019,4.2274,4.2274,18.0428,14.0357,3.2554
3059,1,-6.1895,-3.2860,-0.0002,-0.0037,2.3449,2.3449,10.1535,4.3187,1.0309
